"group_key","anchor","tables","k","items_total","items_min","n_min","n_max","same_n","cells_est","eligible","score"
"doi:10.1371/journal.pone.0288563","gillman_2023_appraisals","gillman_2023_appraisals|gillman_2023_pss",2,26,10,404,405,FALSE,10520,FALSE,4.43304803177727
"doi:10.1037/pas0001336","EWAS_Sanford_2024","EWAS_Sanford_2024|EWAS_Sanford_2024_Flourish",2,38,8,482,482,TRUE,18316,FALSE,4.42971370490552
"bib:@Manual{TestGardener2023,
  title = {TestGardener: Optimal Analysis of Test and Rating Scale Data},
  author = {James Ramsay},
  year = {2023},
  note = {R package version 3.1.4},
  url = {https://CRAN.R-project.org/package=TestGardener}
}","quantshort","quantshort|sds",2,37,13,473,1000,FALSE,30149,FALSE,4.42819447407114
"doi:10.1371/journal.pone.0273763","arnulf_2022_general_knowledge","arnulf_2022_general_knowledge|arnulf_2022_conspiracy_thinking",2,26,12,398,398,TRUE,10348,FALSE,4.42654973874035
"doi:10.1371/journal.pone.0201216","bilotta_2018_scl90","bilotta_2018_scl90|bilotta_2018_tas20",2,110,20,1361,1362,FALSE,149730,FALSE,4.40052479187
"doi:10.3758/s13428-025-02662-x","opentsstvr_linnig_2025_vas","opentsstvr_linnig_2025_vas|opentsstvr_linnig_2025_vrexperience|opentsstvr_linnig_2025_ssq",3,58,7,60,60,TRUE,3480,FALSE,4.39148458371698
"bib:@Manual{Robitzsch2022,
  title = {sirt: Supplementary Item Response Theory Models},
  author = {Alexander Robitzsch},
  year = {2022},
  note = {R package version 3.12-66},
  url = {https://CRAN.R-project.org/package=sirt}
}","4thgrade_math_sirt","4thgrade_math_sirt|pirlsmissing_sirt",2,65,30,664,3480,FALSE,141720,FALSE,4.38883474603468
"doi:10.1371/journal.pone.0207458","pecino_2018_extrarole_wfb","pecino_2018_extrarole_wfb|pecino_2018_justice_climate",2,40,6,442,442,TRUE,17680,FALSE,4.37875560268243
"doi:10.1787/dfe0bf9c-en","pisa2022_read","pisa2022_read|pisa2022_math|pisa2022_science",3,602,115,243131,555063,FALSE,219066100,FALSE,4.37250700301147
"doi:10.6084/m9.figshare.31427369.v1","chowdhury2026_ai_vignette","chowdhury2026_ai_vignette|chowdhury2026_ai_literacy|chowdhury2026_ai_intentions",3,20,4,32,32,TRUE,640,FALSE,4.37181664498657
"bib:@unpublished{hannachi2025exploring,
  title={Exploring the eco-anxiety continuum: Calibrating scales with item response theory},
  author={Hannachi, T. and Somat, A.},
  year={2025},
  note={Preprint},
  institution={Laboratory of Psychology: Cognition, Behavior, Communication (LP3C), Rennes 2 University},
  url={https://osf.io/djcex/overview}
}","hannachi_2025_eco_anxiety_cope","hannachi_2025_eco_anxiety_cope|hannachi_2025_eco_anxiety_affect",2,54,26,534,534,TRUE,28836,FALSE,4.36754125702856
"bib:@misc{canham2018evaluation,
  author = {Canham, L and Salamh, P and others},
  title = {Evaluation of non-cognitive traits of doctor of physical therapy learners in the United States},
  year = {2018},
  howpublished = {Harvard Dataverse},
  url = {https://doi.org/10.7910/DVN/Y75CP2},
  doi = {10.7910/DVN/Y75CP2}
}","dpt_noncog__emotional_intelligence","dpt_noncog__emotional_intelligence|dpt_noncog__grit",2,17,3,298,298,TRUE,5066,FALSE,4.36088293074292
"doi:10.1371/journal.pone.0297822.","frikha_2023_pe_ms","frikha_2023_pe_ms|frikha_2023_pe_acrs",2,21,9,308,308,TRUE,6468,FALSE,4.34855071650045
"doi:10.1371/journal.pone.0161272","mavromoustakos_2016_ztpi","mavromoustakos_2016_ztpi|mavromoustakos_2016_fasq|mavromoustakos_2016_probability_scale",3,108,20,115,115,TRUE,12420,FALSE,4.34069784035361
"doi:10.6084/m9.figshare.30385261","moe2025_scs","moe2025_scs|moe2025_erq|moe2025_sis",3,96,10,95,95,TRUE,9120,FALSE,4.33772360528885
"doi:10.6084/m9.figshare.25378894.v1","dong_2024_engagement","dong_2024_engagement|dong_2024_ccaiq",2,28,13,332,332,TRUE,9296,FALSE,4.33447141703737
"doi:10.1371/journal.pone.0260926","malinowska_2021_saq_physicians","malinowska_2021_saq_physicians|malinowska_2021_saq_nurses",2,82,41,738,1190,FALSE,79048,FALSE,4.32138969515638
"doi:10.1016/j.tate.2026.104886","gilbert_meta_112","gilbert_meta_112|gilbert_meta_113",2,16,8,267,267,TRUE,4272,FALSE,4.31984459469791
"doi:10.3758/s13428-024-02496-z","DMCT_Addis_2020_SUIS","DMCT_Addis_2020_SUIS|DMCT_Addis_2020_PSIQ|DMCT_Addis_2020_MCT",3,97,18,92,92,TRUE,8924,FALSE,4.31712116067889
"doi:10.1371/journal.pone.0191675","santos_2018_gse","santos_2018_gse|santos_2018_cesd",2,30,10,304,306,FALSE,9140,FALSE,4.28287358360875
