label,kind,n_persons,n_items,n_categories,affect_cog,dropped_rows,dropped_cols,secs,OverallSD,OverallKurt,OverallRightKurt,VarColPC1,SkewColPC1,SkewColPC2,Skewness,Mean_Row_Corr,Row_Corr_Kurtosis,CorrRightKurt,Mean_Col_Kurtosis,Mean_SD_Ratio,PercentOut,intrinsicDemnsionalityProp,Mean_InterItem_Pearson,Mean_InterItem_Polychoric,Mean_Row_Var,Mean_Col_Var
shu_2025_translation_pcd,single,996,16,9,affective/opinion,58,0,0.13647842407226562,1.9354921289239047,-0.41313105307100884,-1.9914359497253655,27.85416614953479,-0.22837905881184253,-0.42460049960021895,-0.2646722912657067,0.3218957394948828,-0.07172388716598466,-0.4619205813244407,-0.05125496602967977,0.9096841912782773,68.75,0.1875,0.5235770843213607,NA,2.1678380187416333,3.110749656919134
hexaco_ashton_2014_h,single,1998,40,7,affective/opinion,0,0,14.002115249633789,1.928872355010942,-1.2065971998142473,-1.938150630135901,27.693731932991675,-0.2565398443004021,-0.025297269368300394,0.003573893728009152,0.18266119613944737,-0.09489800626070544,0.16684756299998593,-0.7511772961920813,0.9111093930690577,2.5,0.3,0.06743431242115777,0.07448422131025503,3.5432227098893767,3.1075617680775416
fomonegativeaffect_cremer_2026_fomo,single,449,10,5,affective/opinion,10,0,0.5760641098022461,1.2571656171883518,-0.8468978489263952,-1.861794462710011,6.175183797226061,0.4063895932376483,-0.02869208685079219,0.5316576615030831,0.19571096816582145,-0.4827941848967092,-0.5057132426319209,-0.46660546516774665,0.9394351666688565,20,0.4,0.3653939860556174,0.4162351754262068,1.0886909180895818,1.3990673719376392
wellbeing_kocar_2025,single,664,38,7,affective/opinion,5,0,8.495455503463745,1.4581853098637292,-0.3970796392507423,-1.9991623068615751,23.09397172870474,-0.011875713276204826,0.013061271669927293,0.11973882210663692,0.12649154918411373,-0.008398652502881632,1.6403917353354673,-0.49362485083380875,0.9308790050722754,36.84210526315789,0.23684210526315788,0.29904166043568853,0.3234320791371225,1.6002834238804435,1.9448293890015886
chakraborty2026_bidr_irw,single,629,16,5,affective/opinion,5,0,1.1126229763031006,1.375424166991398,-1.2506498177897654,-1.9865002463777686,5.9483936702755456,0.5917526928690394,-0.17014193649060308,-0.17276086544337219,0.07677421980680803,0.12178083632504944,1.510077416838988,-1.0860462105167663,0.9650817951028785,6.25,0.375,0.04984035806852667,0.0622490551668215,1.8126324854266032,1.766646329731755
climatechange_geiger_2025,single,1872,14,101,affective/opinion,0,0,0.3674755096435547,27.228195840200403,0.3491234962463272,-1.665852748510594,1655.165842588598,-9.783301417516921e-4,-0.34606174541897133,1.1938243263538704,0.6217518171558215,0.23767795173437545,-1.0099572149589628,2.1125810113945183,0.5215312458402095,42.857142857142854,0.21428571428571427,-0.02666385432692366,NA,798.2992568329107,313.8407608596345
lhsbrasil_couto_2023_lhs,single,463,20,4,affective/opinion,1,0,1.0637774467468262,0.743636513646929,-0.30033975639854926,-1.9537879187582317,3.9090406929343273,-0.39351835078889447,0.11244979304940304,0.08361073330237055,0.1342881110301046,-0.7983468203426929,-0.8722544950839981,0.13956227623501333,0.9325263904030464,25,0.25,0.006029392865262559,0.0070817849649456545,0.5530067068318745,0.4853056950249175
lessr_mach4,single,351,20,6,cognitive,0,0,2.271575927734375,1.6702163124762257,-1.2503349568559894,-1.9834893394464286,6.898225607172715,0.03307049555134083,-0.27515877115766857,0.09064342451664678,0.30081209977011086,0.08056509424019742,0.6107679813508362,-0.31099210680656225,0.8447276326378056,15,0.45,0.02883528298465906,0.03015342572957007,2.7735117708801917,2.015810337810338
pezzuti_2025_coolpeople_single-items,single,1803,10,7,affective/opinion,10,0,1.4675252437591553,1.9785994285175434,-1.2336974387204713,-1.983773391169894,12.777353564598739,-0.42147453578729804,-0.3022337041026394,-0.1179285193423776,0.15782971792568543,-0.8706052900816443,-1.085220602608695,-0.7556043512994527,0.9146562605933424,0,0.4,-0.007854268759017301,-0.012164949829099034,4.016891600419054,3.283513603852994
disgust_berger2014,single,1394,25,5,affective/opinion,0,0,2.824413299560547,1.4876771709676002,-1.3589012884456415,-1.9997116420656953,10.12404595652359,0.3541498916901025,-0.45227604128643456,-0.2735532158764617,0.19433456570796445,-0.09616672136142856,0.6311636634969604,-0.788655688086602,0.90893882757814,8,0.4,0.14196670271404638,0.17052768538172125,1.9844045911047345,1.8456789378332532
bfi_goldberg_1992_openness_to_experience,single,1998,10,5,affective/opinion,2,0,0.9458508491516113,1.3893061343586481,-1.1308741357349028,-1.9967268543123597,4.015298858916696,0.49824945270438076,0.19484808689677569,-0.35984368982319853,0.4449914199395751,0.2779756982147852,-1.0849257123548792,0.26336910484108433,0.7537370802215428,40,0.3,0.04104192173962805,0.04207563955072608,1.9808808808808809,1.1070519192201715
imos_1991,single,295,6,8,cognitive,17,0,0.5324804782867432,2.873187030528601,-1.5775606788055245,-1.9073810654845602,23.614008945783134,0.14461285637125423,-0.0010498180086494086,0.23637714507474494,0.1585769211732213,-0.6643143822133171,-0.656615833492225,-1.179543178201421,0.9434668561476501,0,0.3333333333333333,0.41542805630149243,0.4813635095393695,5.3694915254237285,7.508639840116838
MERGED:jablonska_2020,merged,968,46,NA,NA,6,0,17.989160537719727,1.8913873450767955,-1.0678478893189398,-1.8873841987598758,29.83231257236132,-0.12642137082669275,-0.18083841267022885,-0.07305141102681893,0.2563044562263737,-0.7781319673615603,-0.5344710494199161,-0.4396341755133798,0.8669408007172447,23.91304347826087,0.21739130434782608,0.11666578928627552,0.1277014468640539,3.251749710544177,2.715404011502842
MERGED:lorenz_2016,merged,321,63,NA,NA,0,0,21.55180859565735,1.0162834224107185,0.4319005027111191,-1.9990909300268276,14.530807380584772,-0.2919816859404228,-0.6231783292132577,-0.5882583375912989,0.16290019685496612,1.2811733328213881,10.37904494572308,0.5449875882375708,0.9289146323384492,87.3015873015873,0.2698412698412698,0.2367726084168738,0.2755188024003251,0.8295537020288302,0.9085067126539089
MERGED:silva_2018,merged,1396,46,NA,NA,0,0,5.3150413036346436,1.6828473971166376,-1.1860953090356767,-1.9975277877529871,11.949792404838231,0.5439773124781685,-0.2137246576985833,0.028035063272694713,0.7127491791021059,1.5386099887478828,-0.627912354806401,-0.3516418062267838,0.517723582533093,54.347826086956516,0.2608695652173913,0.05958079047291114,0.0750591009651269,2.8201279016652134,0.8885287914935837
MERGED:singh_2025,merged,618,55,NA,NA,0,0,11.1545569896698,1.2611663763895835,-1.0834169734398302,-1.9743564519428636,9.417242794135204,-0.20186383514873987,0.1597041005734562,0.15025328698457907,0.45581894380261623,0.6803700943709843,-0.22983090921697968,0.6252577795144042,0.7373814573296138,67.27272727272727,0.21818181818181817,0.03445962164688095,0.04006069846981478,1.579018883549628,0.8909221560540973
