table,dataset,n_items,n_participants,n_categories,n_responses,density,longitudinal,construct_type,ct_primary,affect_cog,item_format,measurement_tool,construct_name,doi,license
whodas_brummerhoffman_2021,item_response_warehouse,12,1828,5,21936,1,TRUE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,"Depression and anxiety question framing: The impact of asking about symptom's frequency, context, duration, ability and botherement - World Health Organization Disability Assessment Schedule",10.1037/pas0001323,CC BY 4.0
grit_brummerhoffman_2021,item_response_warehouse,8,1828,5,14624,1,TRUE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,"Depression and anxiety question framing: The impact of asking about symptom's frequency, context, duration, ability and botherement - short version of the Grit Scale",10.1037/pas0001323,CC BY 4.0
cv_oasis_odsis_ppe_novak_2020_panas,item_response_warehouse,20,1458,5,29160,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Czech Version of the short Overall Anxiety Severity and Impairment Scale (OASIS) and the Overall Depression Severity and Impairment Scale (ODSIS): Psychometric Properties and Evaluation,10.3390/ijerph181910337,CC BY 4.0
pppasbpnssedaisw_pedro_2022_npbe,item_response_warehouse,15,1648,5,24720,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,The Adolescent Student Basic Psychological Need Satisfaction Scale,10.1177/07342829221125843,CC0 1.0
sabfi2_gallardo_pujol_2018_honest,item_response_warehouse,10,419,5,4190,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Hexaco honesty-humility subscale,10.1027/2698-1866/a000020,CC BY 4.0
sabfi2_gallardo_pujol_2018_tight,item_response_warehouse,6,419,5,2514,1,FALSE,NA,NA,other,NA,NA,Tightness-looseness scale,10.1027/2698-1866/a000020,CC BY 4.0
sabfi2_gallardo_pujol_2018_narq,item_response_warehouse,6,419,5,2514,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Narcissism admiration and rivalry questionnaire,10.1027/2698-1866/a000020,CC BY 4.0
prcpsffmq_lecuona_2017,item_response_warehouse,39,800,5,31200,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Five Facets Mindfulness Questionnaire,10.1177/1073191119873718,CC0 1.0
cse_bayazit_2022,item_response_warehouse,15,651,5,9765,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Learning Self-Efficacy Scale (L-SES),10.7910/dvn/m0njiq,CC0 1.0
christiannationalism_davis2021,item_response_warehouse,6,1378,5,8268,1,FALSE,Opinion/attitude,Opinion/attitude,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Christian Nationalism Scale (Six-Item Index),10.1017/s1755048322000256,CC0 1.0
sabfi2_gallardo_pujol_2018_inthapp,item_response_warehouse,9,419,5,3771,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Interdependent happiness scale,10.1027/2698-1866/a000020,CC BY 4.0
aa1_silvia_2023,item_response_warehouse,14,1071,5,14994,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Survey/questionnaire,Aesthetic Responsiveness Assessment,10.1037/aca0000348,CC BY 4.0
anxiety_lordif,item_response_warehouse,29,766,5,22214,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,PROMIS Anxiety scale,na,GPL-3.0
pppasbpnssedaisw_pedro_2022_panas,item_response_warehouse,20,1648,5,32960,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,The Positive and Negative Affect Schedule(PANAS),10.1177/07342829221125843,CC0 1.0
sabfi2_gallardo_pujol_2018_lot,item_response_warehouse,6,419,5,2514,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Life orientation scale,10.1027/2698-1866/a000020,CC BY 4.0
anxiety_gastro_symptoms,item_response_warehouse,15,382,5,5730,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Hypervigilance and Anxiety About Gastrointestinal Symptoms (Modified EHAS),10.1037/pas0001280,CC BY 4.0
depression_hymcohort_tang2022,item_response_warehouse,24,448,5,10752,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,BSI Depression and PROMIS Depression,10.1371/journal.pone.0278232,CC0 1.0
alsecypiamh_wu_2022_cps,item_response_warehouse,12,9567,5,114804,1,FALSE,"Opinion/attitude, Affective/mental health",Opinion/attitude,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Claremont Purpose Scale,10.17605/osf.io/jqzbx,CC BY 4.0
mpsycho_bsss,item_response_warehouse,8,1626,5,13008,1,FALSE,Behavioral,Behavioral,other,Likert Scale/selected response,Survey/questionnaire,Brief Sensation Seeking Scale Questions (BSSS-8),10.1016/s0191-8869(01)00032-0,GPL-2.0
narqing,item_response_warehouse,40,1248,6,49920,1,FALSE,"Personality, Opinion/attitude",Personality,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Narcissistic Admiration and Rivalry Questionnaire (NARQ),10.31234/osf.io/w3rxe,CC BY 4.0
lessr_mach4,item_response_warehouse,20,351,6,7020,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Survey/questionnaire,Machiavellian beliefs and personality: Construct invalidity of the Machiavellianism dimension,10.1037/0022-3514.43.6.1293,GPL-3.0
sds,item_response_warehouse,13,473,6,6149,1,FALSE,NA,NA,other,NA,NA,Symptom Distress Scale,na,GPL-3.0
si09_sirt,item_response_warehouse,12,5201,7,62412,1,FALSE,Behavioral,Behavioral,other,Likert Scale/selected response,Survey/questionnaire,Employee-helping behavior across 8 countries.,10.3389/fpsyg.2019.01507,GPL-3.0
alsecypiamh_wu_2022_mil,item_response_warehouse,10,7842,7,78420,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Meaning of Life,10.17605/osf.io/jqzbx,CC BY 4.0
motacademica_ribeiro_2019,item_response_warehouse,29,1157,7,33553,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Survey/questionnaire,Replication Data for: Academic Motivation Scale: Validity in Portuguese Public Higher Education,10.7910/dvn/kwtmwt,CC0 1.0
bps_boredom_bieleke2022,item_response_warehouse,8,636,7,5088,1,FALSE,Behavioral,Behavioral,other,Likert Scale/selected response,Survey/questionnaire,Boredom Avoidance and Escape Scale,10.1098/rsos.211998,CC BY 4.0
bae_boredom_bieleke2022,item_response_warehouse,17,636,7,10812,1,FALSE,Behavioral,Behavioral,other,Likert Scale/selected response,Survey/questionnaire,Boredom Avoidance and Escape Scale,10.1098/rsos.211998,CC BY 4.0
ada_boredom_bieleke2022,item_response_warehouse,10,636,7,6360,1,FALSE,Behavioral,Behavioral,other,Likert Scale/selected response,Survey/questionnaire,Dealing with Boredom Scale,10.1098/rsos.211998,CC BY 4.0
nas_rogoza_2024_study1,item_response_warehouse,30,369,7,11070,1,FALSE,Personality,Personality,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Narcissistic Antagonism Scale (NAS),10.1037/pas0001344,CC0 1.0
nas_rogoza_2024_study2_nvs,item_response_warehouse,11,353,7,3883,1,FALSE,"Personality, Opinion/attitude",Personality,affective/opinion,Likert Scale/selected response,Survey/questionnaire,"Narcissistic Antagonism Scale (NAS), Narcissistic Grandiosity Scale (NGS), Narcissistic Vulnerability Scale (NVS): Three-Factor Structure",10.1037/pas0001344,CC0 1.0
nas_rogoza_2024_study2_ngs,item_response_warehouse,13,353,7,4589,1,FALSE,"Personality, Opinion/attitude",Personality,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Narcissistic Grandiosity Scale (NGS) — Three-Factor Structure,10.1037/pas0001344,CC0 1.0
nas_rogoza_2024_study2_nas,item_response_warehouse,18,353,7,6354,1,FALSE,"Personality, Opinion/attitude",Personality,affective/opinion,Likert Scale/selected response,Survey/questionnaire,"NAS Three-Factor Structure (with NGS, NVS)",10.1037/pas0001344,CC0 1.0
imos_2016,item_response_warehouse,6,602,8,3612,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_2004,item_response_warehouse,6,486,8,2916,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
