"table","replicate","seed","method","pearsongamma","within_ss","wb_ratio","ch","aic_improvement","aic_improvement_trimmed","aic_status"
"alsuhibani_2022_pads_s1",1,101,"Original Relationality",0.0593697267670438,42.9454812723873,1.103545189207,26.4074912785082,480.626852308951,480.626852308951,"ok"
"alsuhibani_2022_pads_s1",1,101,"Recursive Relationality",0.3245377846823,59.8557051192687,1.51820353477546,52.7190533898705,842.937509158906,842.937509158906,"ok"
"alsuhibani_2022_pads_s1",1,101,"Ensemble",0.317392019686442,60.7503873094798,1.52233468070277,54.0339104038735,880.797576236193,880.797576236193,"ok"
"alsuhibani_2022_pads_s1",2,202,"eJaccard",0.0741427254477996,46.0031783763989,1.15240391876622,38.8429847007075,662.77667480446,662.77667480446,"ok"
"alsuhibani_2022_pads_s1",2,202,"Podani",0.234881107656604,57.8996581652852,1.39924684785454,37.1896250072569,684.329620396509,684.329620396509,"ok"
"alsuhibani_2022_pads_s1",2,202,"Euclidean",0.130066088933047,44.6504131976148,1.16329221311884,22.315239426484,681.120139798959,681.120139798959,"ok"
"alsuhibani_2022_pads_s1",2,202,"Cosine",0.134277701782166,48.0351868787018,1.21651879218602,46.2314131244631,772.254627938397,772.254627938397,"ok"
"alsuhibani_2022_pads_s1",2,202,"eDice",0.0290708578405924,41.0729424563323,1.05734557472239,17.8778373549655,513.73464849321,513.73464849321,"ok"
"alsuhibani_2022_pads_s1",2,202,"Correlation",0.351433738316939,70.1843393324834,1.64285221616255,39.3293011194895,1142.69714892323,1142.69714892323,"ok"
"alsuhibani_2022_pads_s1",2,202,"ACE",0.263783180294149,59.3953413888616,1.44695770076378,25.8303317299404,NA,NA,"failed"
"alsuhibani_2022_pads_s1",2,202,"Original Relationality",0.0641459241324336,46.1918167813126,1.15247168824366,26.309074952275,707.441599932645,707.441599932645,"ok"
"alsuhibani_2022_pads_s1",2,202,"Recursive Relationality",0.30446707562539,60.5650447568097,1.51550580444409,53.7647145391693,879.39408649191,879.39408649191,"ok"
"alsuhibani_2022_pads_s1",2,202,"Ensemble",0.301709928658466,59.7679975426826,1.4918729091684,52.588036528265,781.463517584529,781.463517584529,"ok"
"alsuhibani_2022_pads_s1",3,303,"eJaccard",0.0442022172850705,43.4685319469498,1.09345170110625,28.658748878185,647.56307949361,647.56307949361,"ok"
"alsuhibani_2022_pads_s1",3,303,"Podani",0.224489481994886,56.8842426496014,1.36482853262143,35.956858725766,841.440277990843,841.440277990843,"ok"
"alsuhibani_2022_pads_s1",3,303,"Euclidean",0.143550274247546,45.1632847989484,1.17722985469443,23.6743725162011,639.098562937817,639.098562937817,"ok"
"alsuhibani_2022_pads_s1",3,303,"Cosine",0.14789996716369,45.0569109481611,1.2027080709127,35.1749071247479,676.250121073605,676.250121073605,"ok"
"alsuhibani_2022_pads_s1",3,303,"eDice",0.066999253271003,42.1021804458391,1.09424196199767,22.6600543150287,595.791566577,595.791566577,"ok"
"alsuhibani_2022_pads_s1",3,303,"Correlation",0.341981878047819,65.7028356809965,1.61272493250697,36.2278047996341,NA,NA,"failed"
"alsuhibani_2022_pads_s1",3,303,"ACE",0.260099252243114,57.9233728230736,1.42797862349307,24.6951708383511,NA,NA,"failed"
"alsuhibani_2022_pads_s1",3,303,"Original Relationality",0.058513941346785,46.0672775702529,1.15025494362227,25.9963137627248,709.54200629423,709.54200629423,"ok"
"alsuhibani_2022_pads_s1",3,303,"Recursive Relationality",0.334423748360848,65.1522944503678,1.58148531440111,44.8773017922293,978.060917303947,978.060917303947,"ok"
"alsuhibani_2022_pads_s1",3,303,"Ensemble",0.323420061019052,61.0989057032934,1.53251934070359,54.5356837155754,821.80219312336,821.80219312336,"ok"
"alsyouf_2024_facilitating_conditions",1,101,"eJaccard",0.173138398320223,85.7393791529876,1.21583322399151,26.3526058219064,947.456812384761,947.456812384761,"ok"
"alsyouf_2024_facilitating_conditions",1,101,"Podani",0.236507844792377,100.026225761303,1.37781235546821,42.8230293186646,952.833123434557,952.833123434557,"ok"
"alsyouf_2024_facilitating_conditions",1,101,"Euclidean",0.0335984403337382,72.3676320965151,1.03876277385348,7.58594008434016,717.591551633236,717.591551633236,"ok"
"alsyouf_2024_facilitating_conditions",1,101,"Cosine",0.193858719825832,87.21493886486,1.24089361850755,28.303564965025,778.491672467396,778.491672467396,"ok"
"alsyouf_2024_facilitating_conditions",1,101,"eDice",0.257642304078369,87.9010310613772,1.28506585461966,29.1883957629273,750.154584984028,750.154584984028,"ok"
"alsyouf_2024_facilitating_conditions",1,101,"Correlation",0.52726335523063,121.148431445951,1.72032925521351,44.9363169572208,1027.63075744107,1027.63075744107,"ok"
"alsyouf_2024_facilitating_conditions",1,101,"ACE",0.48884776074886,120.9286346282,1.66666765594376,29.7425926163574,NA,NA,"failed"
"alsyouf_2024_facilitating_conditions",1,101,"Original Relationality",0.0349797698729901,78.1778888794598,1.0883403705248,22.8525129228239,26.8255498015124,26.8255498015124,"ok"
"alsyouf_2024_facilitating_conditions",1,101,"Recursive Relationality",0.21714659013089,94.5227082609828,1.31110682159846,37.067928793635,1036.80239233253,1036.80239233253,"ok"
"alsyouf_2024_facilitating_conditions",1,101,"Ensemble",0.312586036253578,103.368982744142,1.44113172840616,46.0194452084498,1015.96138064616,1015.96138064616,"ok"
"alsyouf_2024_facilitating_conditions",2,202,"eJaccard",0.195422764230152,89.2069072673504,1.25832903019315,30.8349352760841,929.312632663063,929.312632663063,"ok"
"alsyouf_2024_facilitating_conditions",2,202,"Podani",0.212413917975656,97.0912790712784,1.34861242763894,39.8351110520662,NA,NA,"failed"
"alsyouf_2024_facilitating_conditions",2,202,"Euclidean",0.030672236967948,74.2865694618752,1.05553910247785,12.8921040086922,727.860554071715,727.860554071715,"ok"
"alsyouf_2024_facilitating_conditions",2,202,"Cosine",0.25439386928267,92.3549393678451,1.31560804000279,25.898497366985,873.989423335912,873.989423335912,"ok"
