"table","dataset","n_items","n_participants","n_categories","n_responses","density","longitudinal","construct_type","ct_primary","affect_cog","item_format","measurement_tool","construct_name","doi","license","catband","stratum","eff_N","N_short"
"ders_valencia_2025","item_response_warehouse_2",36,345,5,12420,1,FALSE,"Affective/mental health","Affective/mental health","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Difficulties in Emotion Regulation Scale","10.32348/1852.4206.v16.n2.36158","CC BY 4.0","4-5","affective/opinion | 4-5",345,TRUE
"disgust_berger2014","item_response_warehouse",25,1414,5,35350,1,FALSE,"Affective/mental health","Affective/mental health","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Berger and Anaki disgust scale","10.5334/jopd.ag","CC0 1.0","4-5","affective/opinion | 4-5",1414,TRUE
"dmirt_forsberg_2024","item_response_warehouse_2",20,1046,6,20920,1,FALSE,"Opinion/attitude","Opinion/attitude","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Moral Preferences","10.21105/joss.06523","CC BY 4.0","6-7","affective/opinion | 6-7",1046,TRUE
"dong_2024_ccaiq","item_response_warehouse_2",13,332,6,4316,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.6084/m9.figshare.25378894.v1","CC BY 4.0","6-7","untagged | 6-7",332,TRUE
"dong_2024_engagement","item_response_warehouse_2",15,332,6,4980,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.6084/m9.figshare.25378894.v1","CC BY 4.0","6-7","untagged | 6-7",332,TRUE
"dopmeijer_2022_loneliness","item_response_warehouse_3",11,3141,5,34551,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0267175","CC BY 4.0","4-5","untagged | 4-5",2000,FALSE
"dopmeijer_2022_performance_pressure","item_response_warehouse_3",12,3141,5,37692,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0267175","CC BY 4.0","4-5","untagged | 4-5",2000,FALSE
"dou2025_area","item_response_warehouse_3",12,748,5,8976,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0331067","CC BY 4.0","4-5","untagged | 4-5",748,TRUE
"ees_sarling_2024","item_response_warehouse",30,805,5,24150,1,FALSE,"Personality","Personality","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Empathic Experience Scale (EES)","10.1027/2698-1866/a000079","CC BY 4.0","4-5","affective/opinion | 4-5",805,TRUE
"envirisk_lalot_2025","item_response_warehouse",12,2005,11,24060,1,FALSE,"Opinion/attitude","Opinion/attitude","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Environmental risk perception","10.1016/j.jenvp.2025.102520","CC BY 4.0","8+","affective/opinion | 8+",2000,FALSE
"feardriving_fisher2021","item_response_warehouse",25,810,5,20250,1,FALSE,"Affective/mental health, Opinion/attitude","Affective/mental health","affective/opinion","Mixed","Survey/questionnaire","Psychometric Validation of the Instrument for Fear of Driving (IFD)","10.1027/1015-5759/a000683","CC BY 4.0","4-5","affective/opinion | 4-5",810,TRUE
"fivpei_perrig_2023_imi","item_response_warehouse",7,1551,7,10857,1,FALSE,"Affective/mental health","Affective/mental health","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Intrinsic Motivation Inventory","10.17605/osf.io/8xuhr","CC BY 4.0","6-7","affective/opinion | 6-7",1551,TRUE
"friedman_2018_risks_discrimination","item_response_warehouse_2",6,3110,6,18660,1,TRUE,"Opinion/attitude","Opinion/attitude","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Discrimination","10.7910/dvn/zsja25","Custom","6-7","affective/opinion | 6-7",2000,FALSE
"friedman_2018_risks_government","item_response_warehouse_2",6,3110,6,18660,1,TRUE,"Opinion/attitude","Opinion/attitude","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Appropriate","10.7910/dvn/zsja25","Custom","6-7","affective/opinion | 6-7",2000,FALSE
"frikha_2023_pe_ms","item_response_warehouse_2",9,308,5,2772,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0297822.","CC0 1.0","4-5","untagged | 4-5",308,TRUE
"fukuda_2021_info_reliability","item_response_warehouse_3",8,1000,5,8000,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0257552","CC BY 4.0","4-5","untagged | 4-5",1000,TRUE
