"table","replicate","seed","n_items","n_resp","method","status","k","largest_prop","n_substantive","secs","degenerate"
"chen2022b_socsupport",2,202,12,382,"Euclidean","ok",4,0.350785340314136,4,0.688999999999965,FALSE
"chen2022b_socsupport",2,202,12,382,"Cosine","ok",6,0.298429319371728,5,0.0860000000000127,FALSE
"chen2022b_socsupport",2,202,12,382,"eDice","ok",3,0.465968586387435,3,0.190999999999917,FALSE
"chen2022b_socsupport",2,202,12,382,"Correlation","ok",7,0.178010471204188,7,0.0410000000000537,FALSE
"chen2022b_socsupport",2,202,12,382,"ACE","ok",7,0.219895287958115,6,154.601,FALSE
"chen2022b_socsupport",2,202,12,382,"Original Relationality","ok",3,0.43455497382199,3,5.83200000000011,FALSE
"chen2022b_socsupport",2,202,12,382,"Recursive Relationality","ok",6,0.259162303664921,6,8.51499999999987,FALSE
"chen2022b_socsupport",2,202,12,382,"Ensemble","ok",5,0.253926701570681,5,0.172000000000025,FALSE
"chen2022b_socsupport",3,303,12,382,"eJaccard","ok",3,0.463350785340314,3,0.259000000000015,FALSE
"chen2022b_socsupport",3,303,12,382,"Podani","ok",5,0.243455497382199,5,14.624,FALSE
"chen2022b_socsupport",3,303,12,382,"Euclidean","ok",4,0.421465968586387,4,0.241999999999962,FALSE
"chen2022b_socsupport",3,303,12,382,"Cosine","ok",6,0.285340314136126,4,0.649000000000115,FALSE
"chen2022b_socsupport",3,303,12,382,"eDice","ok",3,0.418848167539267,3,0.214999999999918,FALSE
"chen2022b_socsupport",3,303,12,382,"Correlation","ok",6,0.235602094240838,6,0.0550000000000637,FALSE
"chen2022b_socsupport",3,303,12,382,"ACE","ok",8,0.222513089005236,7,166.74,FALSE
"chen2022b_socsupport",3,303,12,382,"Original Relationality","ok",4,0.424083769633508,4,5.59399999999982,FALSE
"chen2022b_socsupport",3,303,12,382,"Recursive Relationality","ok",5,0.225130890052356,5,8.33400000000006,FALSE
"chen2022b_socsupport",3,303,12,382,"Ensemble","ok",5,0.259162303664921,5,0.198000000000093,FALSE
"christiannationalism_davis2021",1,101,6,1229,"eJaccard","ok",4,0.313262815296989,4,4.91900000000032,FALSE
"christiannationalism_davis2021",1,101,6,1229,"Podani","ok",5,0.294548413344182,5,44.0819999999999,FALSE
"christiannationalism_davis2021",1,101,6,1229,"Euclidean","ok",4,0.291293734743694,4,5.5630000000001,FALSE
"christiannationalism_davis2021",1,101,6,1229,"Cosine","ok",3,0.396257119609439,3,2.36300000000028,FALSE
"christiannationalism_davis2021",1,101,6,1229,"eDice","ok",3,0.399511798209927,3,2.88400000000001,FALSE
"christiannationalism_davis2021",1,101,6,1229,"Correlation","ok",7,0.250610252237592,6,1.52600000000029,FALSE
"christiannationalism_davis2021",1,101,6,1229,"ACE","ok",8,0.212367778681855,6,1469.02,FALSE
"christiannationalism_davis2021",1,101,6,1229,"Original Relationality","ok",5,0.2620016273393,5,31.7880000000005,FALSE
