"table","replicate","seed","n_items","n_resp","n_resp_full","N_capped","OverallSD","OverallKurt","OverallRightKurt","VarColPC1","SkewColPC1","SkewColPC2","Skewness","Mean_Row_Corr","Row_Corr_Kurtosis","CorrRightKurt","Mean_Col_Kurtosis","Mean_SD_Ratio","PercentOut","intrinsicDemnsionalityProp","PercentOut_cells","OverallRightKurt_corrected","nrOut_raw","intrinsicDim_raw"
"daiku_2021_dirty_dozen",1,101,12,303,303,FALSE,1.21983532017606,-1.04846445280555,-1.79717230229858,4.46782571072896,0.246997158214832,-0.401780312057058,-0.019146647810017,0.185019755164988,-0.419583304659752,-0.353357531198238,-0.701059607979045,0.929022690002512,50,0.333333333333333,0.0242024202420242,-1.02314116250829,6,4
"daiku_2021_dirty_dozen",2,202,12,303,303,FALSE,1.21983532017606,-1.04846445280555,-1.79717230229858,4.46782571072896,0.246997158214832,-0.401780312057058,-0.019146647810017,0.185019755164988,-0.419583304659752,-0.353357531198238,-0.701059607979045,0.929022690002512,50,0.333333333333333,0.0242024202420242,-1.02314116250829,6,4
"daiku_2021_dirty_dozen",3,303,12,303,303,FALSE,1.21983532017606,-1.04846445280555,-1.79717230229858,4.46782571072896,0.246997158214832,-0.401780312057058,-0.019146647810017,0.185019755164988,-0.419583304659752,-0.353357531198238,-0.701059607979045,0.929022690002512,50,0.333333333333333,0.0242024202420242,-1.02314116250829,6,4
"dong_2024_ccaiq",3,303,13,328,328,FALSE,1.50642050125115,0.264754359397985,-1.69616674347401,7.3786825069597,-0.824422370081515,-0.282589127832267,1.09516553584359,0.419143231689271,-0.533922179258912,-0.875055886160878,7.24439225763125,0.742917976082582,53.8461538461538,0.307692307692308,0.0316604127579737,-0.984700293895854,7,4
"dong_2024_engagement",1,101,15,322,322,FALSE,1.40751616493005,-0.816996681911741,-1.86248618530659,13.6501084008792,0.045038053432488,0.0574951052828309,-0.186996843501534,0.184845051516281,-0.347279076419232,-0.266149939254099,-0.420391079179404,0.948184384654022,13.3333333333333,0.2,0.019047619047619,-1.40995637633123,2,3
"dong_2024_engagement",2,202,15,322,322,FALSE,1.40751616493005,-0.816996681911741,-1.86248618530659,13.6501084008792,0.045038053432488,0.0574951052828309,-0.186996843501534,0.184845051516281,-0.347279076419232,-0.266149939254099,-0.420391079179404,0.948184384654022,13.3333333333333,0.2,0.019047619047619,-1.40995637633123,2,3
"dong_2024_engagement",3,303,15,322,322,FALSE,1.40751616493005,-0.816996681911741,-1.86248618530659,13.6501084008792,0.045038053432488,0.0574951052828309,-0.186996843501534,0.184845051516281,-0.347279076419232,-0.266149939254099,-0.420391079179404,0.948184384654022,13.3333333333333,0.2,0.019047619047619,-1.40995637633123,2,3
"dopmeijer_2022_performance_pressure",3,303,12,2000,3058,TRUE,1.13075192411302,-0.692279018657847,-1.98534911431643,6.35618556080726,-0.152834863476528,-0.151408621637336,-0.276121156465048,0.139716803621502,-0.439265888356807,-0.302337995241286,-0.544593074147052,0.95526939419471,50,0.333333333333333,0.0207083333333333,-1.47242337177717,6,4
"dou2025_area",1,101,12,583,583,FALSE,1.084707292715,-0.500450982446475,-1.97164143424482,6.12260252103793,0.0503314421385779,0.116148733130596,-0.261301820345141,0.251589581269742,-0.54948499311448,-0.682238411290236,-0.338750428228237,0.918715288384771,66.6666666666667,0.25,0.0124356775300172,-1.66370977315326,8,3
"dou2025_area",2,202,12,583,583,FALSE,1.084707292715,-0.500450982446475,-1.97164143424482,6.12260252103793,0.0503314421385779,0.116148733130596,-0.261301820345141,0.251589581269742,-0.54948499311448,-0.682238411290236,-0.338750428228237,0.918715288384771,66.6666666666667,0.25,0.0124356775300172,-1.66370977315326,8,3
"dou2025_area",3,303,12,583,583,FALSE,1.084707292715,-0.500450982446475,-1.97164143424482,6.12260252103793,0.0503314421385779,0.116148733130596,-0.261301820345141,0.251589581269742,-0.54948499311448,-0.682238411290236,-0.338750428228237,0.918715288384771,66.6666666666667,0.25,0.0124356775300172,-1.66370977315326,8,3
"feardriving_fisher2021",2,202,25,766,766,FALSE,0.873369100233502,3.73681896939814,-1.55042885424898,7.95225297452072,2.04998532534179,-0.121280406129988,1.96983054151732,0.176932023871409,-0.379167049561602,0.695765702853429,8.15527394975657,0.94086278433331,96,0.2,0.0851697127937337,1.26161013940644,24,5
"feardriving_fisher2021",3,303,25,766,766,FALSE,0.873369100233502,3.73681896939814,-1.55042885424898,7.95225297452072,2.04998532534179,-0.121280406129988,1.96983054151732,0.176932023871409,-0.379167049561602,0.695765702853429,8.15527394975657,0.94086278433331,96,0.2,0.0851697127937337,1.26161013940644,24,5
"fivpei_perrig_2023_imi",1,101,7,1545,1545,FALSE,2.21777643016254,-1.23527458939992,-1.75746320310436,6.32796758789431,-1.1745833838354,-0.487517505378801,-0.536286160822495,0.77005572522167,7.49005676733294,-0.0751688433588589,2.82183177891435,0.5253840573147,85.7142857142857,0.285714285714286,0.0490060101710587,-1.18495280003721,6,2
"frikha_2023_pe_ms",1,101,9,308,308,FALSE,1.32618772268084,-0.809777764464215,-1.90588635522389,3.92845378744502,-0.213850182850395,-0.114954562553202,-0.577464340750986,0.434553086990435,0.364526447748162,-1.09304491520322,1.45314986741675,0.777801564072736,55.5555555555556,0.333333333333333,0.0248917748917749,-1.94926695312341,5,3
"frikha_2023_pe_ms",2,202,9,308,308,FALSE,1.32618772268084,-0.809777764464215,-1.90588635522389,3.92845378744502,-0.213850182850395,-0.114954562553202,-0.577464340750986,0.434553086990435,0.364526447748162,-1.09304491520322,1.45314986741675,0.777801564072736,55.5555555555556,0.333333333333333,0.0248917748917749,-1.94926695312341,5,3
